Series Id,Year,Period,Value
CES0000000001,1999,M01,117
CES0000000001,1999,M02,410
CES0000000001,1999,M03,107
CES0000000001,1999,M04,372
CES0000000001,1999,M05,211
CES0000000001,1999,M06,264
CES0000000001,1999,M07,328
CES0000000001,1999,M08,154
CES0000000001,1999,M09,225
CES0000000001,1999,M10,394
CES0000000001,1999,M11,289
CES0000000001,1999,M12,310
CES0000000001,2000,M01,218
CES0000000001,2000,M02,131
CES0000000001,2000,M03,467
CES0000000001,2000,M04,293
CES0000000001,2000,M05,219
CES0000000001,2000,M06,-36
CES0000000001,2000,M07,173
CES0000000001,2000,M08,-15
CES0000000001,2000,M09,144
CES0000000001,2000,M10,-15
CES0000000001,2000,M11,222
CES0000000001,2000,M12,137
CES0000000001,2001,M01,-25
CES0000000001,2001,M02,74
CES0000000001,2001,M03,-28
CES0000000001,2001,M04,-279
CES0000000001,2001,M05,-41
CES0000000001,2001,M06,-121
CES0000000001,2001,M07,-108
CES0000000001,2001,M08,-146
CES0000000001,2001,M09,-250
CES0000000001,2001,M10,-328
CES0000000001,2001,M11,-297
CES0000000001,2001,M12,-177
CES0000000001,2002,M01,-149
CES0000000001,2002,M02,-128
CES0000000001,2002,M03,-17
CES0000000001,2002,M04,-83
CES0000000001,2002,M05,17
CES0000000001,2002,M06,51
CES0000000001,2002,M07,-77
CES0000000001,2002,M08,-7
CES0000000001,2002,M09,-67
CES0000000001,2002,M10,113
CES0000000001,2002,M11,6
CES0000000001,2002,M12,-170
CES0000000001,2003,M01,107
CES0000000001,2003,M02,-146
CES0000000001,2003,M03,-208
CES0000000001,2003,M04,-49
CES0000000001,2003,M05,11
CES0000000001,2003,M06,-7
CES0000000001,2003,M07,19
CES0000000001,2003,M08,-46
CES0000000001,2003,M09,110
CES0000000001,2003,M10,205
CES0000000001,2003,M11,3
CES0000000001,2003,M12,121
CES0000000001,2004,M01,167
CES0000000001,2004,M02,58
CES0000000001,2004,M03,328
CES0000000001,2004,M04,254
CES0000000001,2004,M05,297
CES0000000001,2004,M06,82
CES0000000001,2004,M07,45
CES0000000001,2004,M08,116
CES0000000001,2004,M09,157
CES0000000001,2004,M10,348
CES0000000001,2004,M11,63
CES0000000001,2004,M12,126
CES0000000001,2005,M01,147
CES0000000001,2005,M02,244
CES0000000001,2005,M03,138
CES0000000001,2005,M04,358
CES0000000001,2005,M05,172
CES0000000001,2005,M06,247
CES0000000001,2005,M07,371
CES0000000001,2005,M08,196
CES0000000001,2005,M09,66
CES0000000001,2005,M10,86
CES0000000001,2005,M11,337
CES0000000001,2005,M12,155
CES0000000001,2006,M01,282
CES0000000001,2006,M02,312
CES0000000001,2006,M03,297
CES0000000001,2006,M04,168
CES0000000001,2006,M05,31
CES0000000001,2006,M06,79
CES0000000001,2006,M07,206
CES0000000001,2006,M08,179
CES0000000001,2006,M09,148
CES0000000001,2006,M10,12
CES0000000001,2006,M11,208
CES0000000001,2006,M12,173
CES0000000001,2007,M01,234
CES0000000001,2007,M02,85
CES0000000001,2007,M03,214
CES0000000001,2007,M04,59
CES0000000001,2007,M05,153
CES0000000001,2007,M06,77
CES0000000001,2007,M07,-30
CES0000000001,2007,M08,-28
CES0000000001,2007,M09,96
CES0000000001,2007,M10,78
CES0000000001,2007,M11,106
CES0000000001,2007,M12,104
CES0000000001,2008,M01,8
CES0000000001,2008,M02,-81
CES0000000001,2008,M03,-55
CES0000000001,2008,M04,-229
CES0000000001,2008,M05,-184
CES0000000001,2008,M06,-154
CES0000000001,2008,M07,-213
CES0000000001,2008,M08,-277
CES0000000001,2008,M09,-443
CES0000000001,2008,M10,-475
CES0000000001,2008,M11,-759
CES0000000001,2008,M12,-707
CES0000000001,2009,M01,-787
CES0000000001,2009,M02,-704
CES0000000001,2009,M03,-802
CES0000000001,2009,M04,-704
CES0000000001,2009,M05,-354
CES0000000001,2009,M06,-469
CES0000000001,2009,M07,-342
CES0000000001,2009,M08,-196
CES0000000001,2009,M09,-229
CES0000000001,2009,M10,-209
CES0000000001,2009,M11,12
CES0000000001,2009,M12,-277
CES0000000001,2010,M01,18
CES0000000001,2010,M02,-73
CES0000000001,2010,M03,193
CES0000000001,2010,M04,221
CES0000000001,2010,M05,522
CES0000000001,2010,M06,-140
CES0000000001,2010,M07,-78
CES0000000001,2010,M08,-16
CES0000000001,2010,M09,-63
CES0000000001,2010,M10,267
CES0000000001,2010,M11,129
CES0000000001,2010,M12,73
CES0000000001,2011,M01,44
CES0000000001,2011,M02,182
CES0000000001,2011,M03,254
CES0000000001,2011,M04,323
CES0000000001,2011,M05,81
CES0000000001,2011,M06,234
CES0000000001,2011,M07,72
CES0000000001,2011,M08,112
CES0000000001,2011,M09,233
CES0000000001,2011,M10,209
CES0000000001,2011,M11,145
CES0000000001,2011,M12,201
CES0000000001,2012,M01,348
CES0000000001,2012,M02,233
CES0000000001,2012,M03,264
CES0000000001,2012,M04,72
CES0000000001,2012,M05,117
CES0000000001,2012,M06,68
CES0000000001,2012,M07,156
CES0000000001,2012,M08,173
CES0000000001,2012,M09,194
CES0000000001,2012,M10,153
CES0000000001,2012,M11,130
CES0000000001,2012,M12,243
CES0000000001,2013,M01,207
CES0000000001,2013,M02,265
CES0000000001,2013,M03,156
CES0000000001,2013,M04,179
CES0000000001,2013,M05,240
CES0000000001,2013,M06,158
CES0000000001,2013,M07,111
CES0000000001,2013,M08,260
CES0000000001,2013,M09,201
CES0000000001,2013,M10,210
CES0000000001,2013,M11,221
CES0000000001,2013,M12,93
CES0000000001,2014,M01,174
CES0000000001,2014,M02,182
CES0000000001,2014,M03,261
CES0000000001,2014,M04,311
CES0000000001,2014,M05,252
CES0000000001,2014,M06,306
CES0000000001,2014,M07,196
CES0000000001,2014,M08,226
CES0000000001,2014,M09,284
CES0000000001,2014,M10,255
CES0000000001,2014,M11,307
CES0000000001,2014,M12,251
CES0000000001,2015,M01,211
CES0000000001,2015,M02,267
CES0000000001,2015,M03,78
CES0000000001,2015,M04,282
CES0000000001,2015,M05,326
CES0000000001,2015,M06,191
CES0000000001,2015,M07,256
CES0000000001,2015,M08,164
CES0000000001,2015,M09,88
CES0000000001,2015,M10,351
CES0000000001,2015,M11,264
CES0000000001,2015,M12,234
CES0000000001,2016,M01,103
CES0000000001,2016,M02,257
CES0000000001,2016,M03,235
CES0000000001,2016,M04,174
CES0000000001,2016,M05,34
CES0000000001,2016,M06,285
CES0000000001,2016,M07,325
CES0000000001,2016,M08,175
CES0000000001,2016,M09,264
CES0000000001,2016,M10,140
CES0000000001,2016,M11,172
CES0000000001,2016,M12,180
CES0000000001,2017,M01,259
CES0000000001,2017,M02,200
CES0000000001,2017,M03,73
CES0000000001,2017,M04,175
CES0000000001,2017,M05,155
CES0000000001,2017,M06,239
CES0000000001,2017,M07,190
