State	Agencies	Population	Total Offenses	Arson	Bribery	"Burglary/Breaking & Entering"	"Counterfeiting/Forgery"	"Destruction/Damage/Vandalism"	Embezzlement	"Extortion/Blackmail"	"Fraud Offenses"	"Larceny/Theft Offenses"	"Motor Vehicle Theft"	Robbery	"Stolen Property Offenses"
Total	"6849"	"100900768"	"3811257"	"13917"	351	"456899"	"89045"	"753193"	"19923"	"3060"	"367605"	"1769459"	"219835"	"73310"	"44660"
Alabama	1	"85601"	"1840"	2	0	205	64	237	22	1	271	882	81	41	34
Arizona	5	"453183"	"13644"	75	1	"1632"	201	"3811"	33	12	"1339"	"5702"	542	121	175
Arkansas	288	"2853645"	"142198"	542	7	"22231"	"5134"	"27671"	161	4	"8442"	"66852"	"6875"	"2082"	"2197"
Colorado	226	"5519770"	"234678"	936	115	"23092"	"5660"	"46599"	499	403	"22529"	"109700"	"19486"	"3541"	"2118"
Connecticut	91	"2900457"	"74178"	142	2	"6878"	"1403"	"15656"	277	88	"8151"	"35220"	"4314"	"1471"	576
Delaware	63	"952065"	"50211"	181	1	"5097"	700	"12120"	300	26	"7212"	"20719"	"1480"	"1366"	"1009"
Idaho	109	"1683140"	"44053"	192	4	"5997"	930	"8069"	138	101	"4447"	"21310"	"2078"	211	576
Illinois	1	"147363"	"10790"	78	0	"1404"	334	"3466"	4	4	524	"3848"	487	540	101
Indiana	93	"46950"	"2064"	10	2	168	103	10	0	0	475	867	360	19	50
Iowa	240	"3113470"	"101610"	371	16	"14405"	"4055"	"21253"	249	68	"8796"	"45797"	"5029"	"1144"	427
Kansas	339	"2130286"	"98849"	501	3	"10128"	"4224"	"23284"	885	69	"12942"	"40078"	"4639"	"1010"	"1086"
Kentucky	427	"4436974"	"146169"	350	64	"20758"	"3503"	"23870"	"2597"	60	"8363"	"69135"	"10054"	"3408"	"4007"
Louisiana	33	"775491"	"29717"	39	3	"5111"	598	"5914"	76	29	"1347"	"14979"	"1050"	271	300
Maine	25	"374727"	"11512"	32	1	"1061"	274	"2689"	82	9	"1248"	"5742"	245	94	35
Massachusetts	298	"5849105"	"148490"	426	7	"16473"	"2837"	"32498"	511	150	"17221"	"66871"	"6162"	"3399"	"1935"
Michigan	624	"9847710"	"312441"	"1766"	16	"38715"	"4391"	"54923"	"2896"	474	"48722"	"130014"	"19920"	"7139"	"3465"
Minnesota	1	"74676"	638	0	0	44	24	122	0	0	152	273	18	3	2
Mississippi	3	"170438"	"11517"	43	0	"1659"	322	"2056"	228	2	996	"5448"	465	188	110
Missouri	19	"806802"	"45543"	245	0	"6024"	"1105"	"7468"	272	11	"3313"	"19872"	"4637"	"2062"	534
Montana	103	"1042048"	"42152"	161	1	"3702"	"1134"	"9448"	104	4	"2476"	"22211"	"2506"	250	155
Nebraska	85	"840799"	"22329"	62	4	"1921"	494	"6277"	85	24	"2192"	"9973"	914	102	281
New Hampshire	174	"1275170"	"37364"	171	4	"2811"	799	"8974"	274	39	"6315"	"15751"	824	418	984
North Dakota	108	"757493"	"25920"	80	2	"2881"	761	"4963"	145	23	"2195"	"12325"	"1823"	181	541
Ohio	530	"8951687"	"345027"	"1281"	2	"50618"	"5182"	"71846"	17	196	"20141"	"164413"	"16485"	"10115"	"4731"
Oklahoma	294	"1835677"	"53554"	335	4	"10299"	"1427"	"8560"	539	50	"4744"	"22879"	"3195"	356	"1166"
Oregon	176	"3573011"	"179547"	840	4	"13917"	"3999"	"45205"	263	85	"17987"	"82235"	"12038"	"2125"	849
Pennsylvania	31	"230336"	"3879"	14	0	294	80	695	8	2	639	"1980"	54	47	66
Rhode Island	47	"1055380"	"32820"	140	2	"3676"	547	"7901"	182	26	"3819"	"14339"	"1112"	544	532
South Carolina	446	"4936962"	"242520"	672	8	"31676"	"6526"	"44728"	"1193"	110	"22363"	"114440"	"13488"	"3977"	"3339"
South Dakota	112	"802805"	"26567"	72	0	"2700"	767	"5593"	220	15	"2098"	"13136"	"1366"	249	351
Tennessee	467	"6652105"	"295809"	"1070"	30	"40354"	"7458"	"51876"	"2721"	235	"30813"	"136865"	"15155"	"7858"	"1374"
Texas	106	"4100255"	"141526"	342	6	"17651"	"4201"	"21990"	750	42	"13441"	"72710"	"7359"	"2715"	319
Utah	71	"2357563"	"123100"	222	10	"10469"	"3404"	"24130"	108	52	"12682"	"60289"	"8398"	"1459"	"1877"
Vermont	94	"625702"	"13880"	41	2	"1795"	137	"3181"	130	7	847	"7329"	176	80	155
Virginia	421	"8411424"	"269806"	870	17	"19988"	"7327"	"57397"	"2802"	314	"37030"	"128270"	"9614"	"4793"	"1384"
Washington	233	"6732631"	"328686"	961	8	"41379"	"5805"	"63023"	388	252	"20226"	"158828"	"27179"	"5007"	"5630"
West Virginia	329	"1622119"	"48530"	236	2	"8021"	"1573"	"8201"	299	14	"2887"	"23460"	"2238"	658	941
Wisconsin	135	"2875748"	"95953"	413	3	"11664"	"1559"	"16794"	465	57	"8202"	"43727"	"7914"	"3934"	"1221"
