Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
2008	8	-81	-55	-229	-184	-154	-213	-277	-443	-475	-759	-707
2009	-787	-704	-802	-704	-354	-469	-342	-196	-229	-209	12	-277
2010	18	-73	193	221	522	-140	-78	-16	-63	267	129	73
2011	44	182	254	323	81	234	72	112	233	209	145	201
2012	348	233	264	72	117	68	156	173	194	153	130	243
2013	207	265	156	179	240	158	111	260	201	210	221	93
2014	174	182	261	311	252	306	196	226	284	255	307	251
2015	211	267	78	282	326	191	256	164	88	351	264	234
2016	103	257	235	174	34	285	325	175	264	140	172	180
2017	259	200	73	175	155	239	190	221	14	271	216	175
2018	239	313										
