ID	Cuisine	Ingredients
10259	greek	romaine_lettuce black_olives grape_tomatoes garlic pepper purple_onion seasoning garbanzo_beans feta_cheese_crumbles
25693	southern_us	plain_flour ground_pepper salt tomatoes ground_black_pepper thyme eggs green_tomatoes yellow_corn_meal milk vegetable_oil
20130	filipino	eggs pepper salt mayonaise cooking_oil green_chilies grilled_chicken_breasts garlic_powder yellow_onion soy_sauce butter chicken_livers
22213	indian	water vegetable_oil wheat salt
13162	indian	black_pepper shallots cornflour cayenne_pepper onions garlic_paste milk butter salt lemon_juice water chili_powder passata oil ground_cumin boneless_chicken_skinless_thigh garam_masala double_cream natural_yogurt bay_leaf
6602	jamaican	plain_flour sugar butter eggs fresh_ginger_root salt ground_cinnamon milk vanilla_extract ground_ginger powdered_sugar baking_powder
42779	spanish	olive_oil salt medium_shrimp pepper garlic chopped_cilantro jalapeno_chilies flat_leaf_parsley skirt_steak white_vinegar sea_salt bay_leaf chorizo_sausage
3735	italian	sugar pistachio_nuts white_almond_bark flour vanilla_extract olive_oil almond_extract eggs baking_powder dried_cranberries
16903	mexican	olive_oil purple_onion fresh_pineapple pork poblano_peppers corn_tortillas cheddar_cheese ground_black_pepper salt iceberg_lettuce lime jalapeno_chilies chopped_cilantro_fresh
12734	italian	chopped_tomatoes fresh_basil garlic extra-virgin_olive_oil kosher_salt flat_leaf_parsley
5875	italian	pimentos sweet_pepper dried_oregano olive_oil garlic sharp_cheddar_cheese pepper swiss_cheese provolone_cheese canola_oil mushrooms black_olives sausages
45887	chinese	low_sodium_soy_sauce fresh_ginger dry_mustard green_beans white_pepper sesame_oil scallions canola_oil sugar Shaoxing_wine garlic ground_turkey water crushed_red_pepper_flakes corn_starch
2698	italian	Italian_parsley_leaves walnuts hot_red_pepper_flakes extra-virgin_olive_oil fresh_lemon_juice trout_fillet garlic_cloves chipotle_chile fine_sea_salt flat_leaf_parsley
41995	mexican	ground_cinnamon fresh_cilantro chili_powder ground_coriander kosher_salt ground_black_pepper garlic plum_tomatoes avocado lime_juice flank_steak salt ground_cumin black_pepper olive_oil crushed_red_pepper_flakes onions
31908	italian	fresh_parmesan_cheese butter all-purpose_flour fat_free_less_sodium_chicken_broth chopped_fresh_chives gruyere_cheese ground_black_pepper bacon_slices gnocchi fat_free_milk cooking_spray salt
24717	indian	tumeric vegetable_stock tomatoes garam_masala naan red_lentils red_chili_peppers onions spinach sweet_potatoes
34466	british	greek_yogurt lemon_curd confectioners_sugar raspberries
1420	italian	italian_seasoning broiler-fryer_chicken mayonaise zesty_italian_dressing
2941	thai	sugar hot_chili asian_fish_sauce lime_juice
8152	vietnamese	soy_sauce vegetable_oil red_bell_pepper chicken_broth yellow_squash garlic_chili_sauce sliced_green_onions broccolini salt fresh_lime_juice cooked_rice chicken_breasts corn_starch
13121	thai	pork_loin roasted_peanuts chopped_cilantro_fresh hoisin_sauce creamy_peanut_butter chopped_fresh_mint thai_basil rice medium_shrimp water rice_noodles beansprouts
40523	mexican	roma_tomatoes kosher_salt purple_onion jalapeno_chilies lime chopped_cilantro
40989	southern_us	low-fat_mayonnaise pepper salt baking_potatoes eggs spicy_brown_mustard
29630	chinese	sesame_seeds red_pepper yellow_peppers water extra_firm_tofu broccoli soy_sauce orange_bell_pepper arrowroot_powder fresh_ginger sesame_oil red_curry_paste
49136	italian	marinara_sauce flat_leaf_parsley olive_oil linguine capers crushed_red_pepper_flakes olives lemon_zest garlic
26705	chinese	sugar lo_mein_noodles salt chicken_broth light_soy_sauce flank_steak beansprouts dried_black_mushrooms pepper chives oyster_sauce dark_soy_sauce peanuts sesame_oil cabbage
27976	cajun_creole	herbs lemon_juice fresh_tomatoes paprika mango stock chile_pepper onions red_chili_peppers oil
22087	italian	ground_black_pepper butter sliced_mushrooms sherry salt grated_parmesan_cheese heavy_cream spaghetti chicken_broth cooked_chicken all-purpose_flour
9197	chinese	green_bell_pepper egg_roll_wrappers sweet_and_sour_sauce corn_starch molasses vegetable_oil oil soy_sauce shredded_cabbage garlic onions fresh_ginger_root ground_pork carrots
1299	mexican	flour_tortillas cheese breakfast_sausages large_eggs
40429	italian	yellow_corn_meal boiling_water butter fresh_parmesan_cheese sea_salt
34419	cajun_creole	chicken_broth chicken_breasts hot_sauce red_bell_pepper potatoes bacon garlic_cloves fresh_parsley andouille_sausage cajun_seasoning peanut_oil celery ground_red_pepper all-purpose_flour shrimp onions
10276	mexican	chili_powder crushed_red_pepper_flakes garlic_powder sea_salt ground_cumin onion_powder dried_oregano ground_black_pepper paprika
33465	thai	eggs shallots firm_tofu beansprouts turnips palm_sugar vegetable_oil garlic_cloves sliced_chicken fish_sauce lime_wedges roasted_peanuts green_papaya chile_powder ground_black_pepper tamarind_paste chinese_chives
39250	italian	olive_oil onions crushed_garlic dried_oregano green_onions white_sugar dried_basil diced_tomatoes
37963	cajun_creole	olive_oil diced_tomatoes Johnsonville_Andouille_Dinner_Sausage parsley shrimp jambalaya_rice_mix worcestershire_sauce hot_pepper_sauce creole_seasoning
20051	italian	olive_oil bread_slices great_northern_beans garlic_cloves pepper shrimp sage_leaves salt
11300	filipino	chicken_broth cooking_oil chinese_five-spice_powder ground_black_pepper salt sugar crushed_garlic chicken_thighs soy_sauce star_anise
17610	southern_us	green_onions cream_cheese shredded_cheddar_cheese cayenne_pepper chili_powder garlic_cloves black-eyed_peas tortilla_chips
37405	southern_us	collard_greens extra-virgin_olive_oil ham_hock chicken_stock apple_cider freshly_ground_pepper chile_powder bay_leaves salt rib light_brown_sugar large_garlic_cloves cayenne_pepper onions
28302	italian	Oscar_Mayer_Deli_Fresh_Smoked_Ham hoagie_rolls salami giardiniera mozzarella_cheese pepperoni butter italian_seasoning
31634	brazilian	ice_cubes club_soda white_rum lime turbinado
32304	mexican	cooked_chicken enchilada_sauce sliced_green_onions picante_sauce green_pepper corn_tortillas canned_black_beans shredded_lettuce sour_cream shredded_cheddar_cheese garlic_cloves canola_oil
36341	indian	salmon_fillets shallots cumin_seed fresh_cilantro salt curry_powder vegetable_oil serrano_chile fresh_ginger sauce
29369	mexican	tomatoes chicken_breast_halves chopped_cilantro_fresh white_vinegar jalapeno_chilies salt black_pepper vegetable_oil avocado lettuce_leaves chopped_onion
27564	chinese	eggs mandarin_oranges water orange_liqueur yellow_cake_mix frosting vegetable_oil white_sugar
18515	french	sugar salt fennel_bulb water lemon_olive_oil grapefruit_juice
3335	southern_us	sugar all-purpose_flour vegetable_oil white_cornmeal baking_powder onions bacon_drippings buttermilk
4499	southern_us	butter crab_boil garlic old_bay_seasoning cream_cheese crawfish salt
4906	southern_us	mayonaise white_sugar ground_black_pepper salt white_vinegar lemon_juice
5767	japanese	sirloin mirin yellow_onion low_sodium_soy_sauce water corn_oil sugar green_onions glass_noodles sake shiitake napa_cabbage
30748	southern_us	large_eggs whipping_cream chicken_broth ground_red_pepper extra_sharp_cheddar_cheese quickcooking_grits hot_sauce ground_black_pepper worcestershire_sauce monterey_jack
35930	italian	fresh_basil bay_leaves crushed_red_pepper mussels olive_oil basil garlic_cloves black_pepper dry_white_wine salt tomatoes finely_chopped_onion linguine flat_leaf_parsley
44902	southern_us	sugar large_eggs all-purpose_flour baking_soda buttermilk honey corn_oil yellow_corn_meal unsalted_butter salt
31119	italian	lemon pesto salmon_fillets white_wine
3535	jamaican	bread_crumbs unsalted_butter onion_powder curry low_sodium_beef_broth pickapeppa_sauce curry_powder bay_leaves garlic cayenne_pepper cold_water pepper large_eggs extra-virgin_olive_oil yellow_onion allspice white_vinegar kosher_salt fresh_thyme worcestershire_sauce all-purpose_flour ground_beef
